building_rating_id,building_name,address,city,state,zipcode
2.0,parkside apartments,25 N Main St,Glen Ellyn,IL,60137
3.0,parkview apartments,14827 Porterfield Dr,Orange,VA,22960
3.0,riverview apartments,10 Riverview Ct,Laurel,MD,20707
2.0,parkside apartments,3280 Blue Ridge Cir,Stockton,CA,95219
3.0,parkside apartments,3240 9th St W,West Fargo,ND,58078
2.0,parkview apartments,160 S Lincoln Ave,Addison,IL,60101
2.0,riverview apartments,607 S Carroll St,Arnold,NE,69120
2.0,riverview apartments,108 Baldwin St,Granite Falls,MN,56241
2.0,parkside apartments,36200 Giffen Dr,Huron,CA,93234
2.0,parkview,18317 Kittridge St,Reseda,CA,91335
3.0,parkview apartments,16551 Victory Blvd,Lake Balboa,CA,91406
4.0,parkview apartments,90 Big Ridge Rd,Spencerport,NY,14559
2.0,riverview apartments,805 E Ryan Dr,Tea,SD,57064
3.0,park view apartments,2806 6th Ave,San Diego,CA,92103
2.0,parkview apartments,3905 Parkview Ave,Gwynn Oak,MD,21207
3.0,parkside apartments,4035 Park Haven Ct,San Diego,CA,92113
2.0,parkside apartments,2250 Eastman Ave,Green Bay,WI,54302
3.0,park view apartments,165 Exchange St,Attica,NY,14011
3.0,parkview apartments,1451 Colquitt Rd,Terrell,TX,75160
2.0,riverview apartments,2201 Gibson St,Sioux City,IA,51106
3.0,parkview apartments,1700 N Walnut St,Bloomington,IN,47404
3.0,riverview apartments,2238 Loomis St,Corning,IA,50841
2.0,parkside apartments,205 W Jefferson St,Oconomowoc,WI,53066
2.0,riverview apartments,1039 3rd St,Kenner,LA,70062
2.0,riverview apartments,3333 East Ave S,La Crosse,WI,54601
3.0,parkview apartments,424 2nd St N,Brownton,MN,55312
2.0,parkside apartments,2621 W Pierce St,Milwaukee,WI,53204
2.0,riverview apartments,1055 Boulevard E,Weehawken,NJ,07086
2.0,parkside apartments,115 13th Ave S,Hopkins,MN,55343
2.0,parkview apartments,290 Sumner Ave,Springfield,MA,01108
2.0,parkside apartments,144 S Walnut St,Kennett Square,PA,19348
2.0,parkview apartments,624 5th Ave NW,Great Falls,MT,59404
2.0,parkview apartments,313 Erie St,Cheney,WA,99004
3.0,riverview apartments,1605 E 9th Ave,Fort Morgan,CO,80701
3.0,park view apartments,1426 Knoxville Hwy,Wartburg,TN,37887
3.0,parkview apartments,46 Barnes Ave,Worcester,MA,01605
3.0,riverview apartments,39169 US Highway 6 & 24,Avon,CO,81620
3.0,parkview apartments,330 Columbine St,Soldotna,AK,99669
2.0,riverview apartments,205 Nunnemacher St,Wakefield,MI,49968
3.0,parkview apartments,4451 Forest Park Ave,Saint Louis,MO,63108
2.0,parkview apartments,301 W Warlow Dr,Gillette,WY,82716
2.0,parkview,101 Homestead Ct,Edwardsville,IL,62025
